Handle,Title,Body (HTML),Description,Location,Vendor,Tags,Type,Product Category,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,HS Code,COO,Variant Inventory Qty,Variant Inventory Policy,Variant Price,Cost Per Item,Variant Inventory Tracker,Variant Fulfillment Service,Variant Requires Shipping,Variant Taxable,Variant Weight Unit,Gift Card,Status,Variant Barcode
kids-chester-embroidered-graphic-tee001-black,KIDS CHESTER EMBROIDERED GRAPHIC TEE-001 BLACK,,KIDS CHESTER EMBROIDERED GRAPHIC TEE-001 BLACK,14469,Psycho Bunny,FALL 2023,,Apparel & Accessories > Clothing,false,Size,3T,Color,001 BLACK,,,B0U301Z1PC,0.0,,US,1.0,deny,50,20,shopify,manual,false,true,lbs,false,active,
kids-chester-embroidered-graphic-tee001-black,KIDS CHESTER EMBROIDERED GRAPHIC TEE-001 BLACK,,KIDS CHESTER EMBROIDERED GRAPHIC TEE-001 BLACK,14469,Psycho Bunny,FALL 2023,,Apparel & Accessories > Clothing,false,Size,4,Color,001 BLACK,,,B0U301Z1PC,0.0,,US,1.0,deny,50,20,shopify,manual,false,true,lbs,false,active,
kids-chester-embroidered-graphic-tee813-tangerine-tango,KIDS CHESTER EMBROIDERED GRAPHIC TEE-813 TANGERINE TANGO,,KIDS CHESTER EMBROIDERED GRAPHIC TEE-813 TANGERINE TANGO,14469,Psycho Bunny,FALL 2023,,Apparel & Accessories > Clothing,false,Size,2T,Color,813 TANGERINE TANGO,,,B0U301Z1PC,0.0,,US,1.0,deny,50,20,shopify,manual,false,true,lbs,false,active,
kids-chester-embroidered-graphic-tee813-tangerine-tango,KIDS CHESTER EMBROIDERED GRAPHIC TEE-813 TANGERINE TANGO,,KIDS CHESTER EMBROIDERED GRAPHIC TEE-813 TANGERINE TANGO,14469,Psycho Bunny,FALL 2023,,Apparel & Accessories > Clothing,false,Size,3T,Color,813 TANGERINE TANGO,,,B0U301Z1PC,0.0,,US,1.0,deny,50,20,shopify,manual,false,true,lbs,false,active,
kids-chester-embroidered-graphic-tee813-tangerine-tango,KIDS CHESTER EMBROIDERED GRAPHIC TEE-813 TANGERINE TANGO,,KIDS CHESTER EMBROIDERED GRAPHIC TEE-813 TANGERINE TANGO,14469,Psycho Bunny,FALL 2023,,Apparel & Accessories > Clothing,false,Size,4,Color,813 TANGERINE TANGO,,,B0U301Z1PC,0.0,,US,1.0,deny,50,20,shopify,manual,false,true,lbs,false,active,
kids-chester-embroidered-graphic-tee813-tangerine-tango,KIDS CHESTER EMBROIDERED GRAPHIC TEE-813 TANGERINE TANGO,,KIDS CHESTER EMBROIDERED GRAPHIC TEE-813 TANGERINE TANGO,14469,Psycho Bunny,FALL 2023,,Apparel & Accessories > Clothing,false,Size,5/6,Color,813 TANGERINE TANGO,,,B0U301Z1PC,0.0,,US,1.0,deny,50,20,shopify,manual,false,true,lbs,false,active,
kids-chester-embroidered-graphic-tee621-brilliant-red-2,KIDS CHESTER EMBROIDERED GRAPHIC TEE-621 BRILLIANT RED 2,,KIDS CHESTER EMBROIDERED GRAPHIC TEE-621 BRILLIANT RED 2,14469,Psycho Bunny,FALL 2023,,Apparel & Accessories > Clothing,false,Size,2T,Color,621 BRILLIANT RED 2,,,B0U301Z1PC,0.0,,US,1.0,deny,50,20,shopify,manual,false,true,lbs,false,active,
kids-chester-embroidered-graphic-tee621-brilliant-red-2,KIDS CHESTER EMBROIDERED GRAPHIC TEE-621 BRILLIANT RED 2,,KIDS CHESTER EMBROIDERED GRAPHIC TEE-621 BRILLIANT RED 2,14469,Psycho Bunny,FALL 2023,,Apparel & Accessories > Clothing,false,Size,3T,Color,621 BRILLIANT RED 2,,,B0U301Z1PC,0.0,,US,1.0,deny,50,20,shopify,manual,false,true,lbs,false,active,
kids-chester-embroidered-graphic-tee621-brilliant-red-2,KIDS CHESTER EMBROIDERED GRAPHIC TEE-621 BRILLIANT RED 2,,KIDS CHESTER EMBROIDERED GRAPHIC TEE-621 BRILLIANT RED 2,14469,Psycho Bunny,FALL 2023,,Apparel & Accessories > Clothing,false,Size,4,Color,621 BRILLIANT RED 2,,,B0U301Z1PC,0.0,,US,1.0,deny,50,20,shopify,manual,false,true,lbs,false,active,
kids-chester-embroidered-graphic-tee621-brilliant-red-2,KIDS CHESTER EMBROIDERED GRAPHIC TEE-621 BRILLIANT RED 2,,KIDS CHESTER EMBROIDERED GRAPHIC TEE-621 BRILLIANT RED 2,14469,Psycho Bunny,FALL 2023,,Apparel & Accessories > Clothing,false,Size,5/6,Color,621 BRILLIANT RED 2,,,B0U301Z1PC,0.0,,US,1.0,deny,50,20,shopify,manual,false,true,lbs,false,active,
